CEC2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Mean,Variance
1,165958.5668,219702.264,182528.7187,271718.1286,288861.7726,162040.0619,336207.9609,79565.03529,302940.2392,446670.3644,313605.2142,251910.5401,157138.596,250292.0849,607133.8036,188839.4786,176329.0258,72218.16415,310448.7983,376619.1276,271514.8151,240245.598,82040.78196,391140.0891,292477.1313,115583.3309,78989.91644,145263.9701,173362.2915,119076.8994,275460.0075,277719.2819,160956.0281,203923.4629,154877.3112,189195.7277,148427.0581,85186.31107,400416.2374,313555.0285,417906.7382,293795.729,341225.8899,140469.2123,561471.3701,214611.7382,204651.1718,209507.8846,108590.1792,251910.5401,240485.5935,14490621123
2,3699.945839,2728.358501,10055.38705,4460.764472,6093.985436,1293.798512,4927.161948,3306.277908,476.5285645,9180.20928,3888.898581,6313.657362,6904.430011,1447.15734,3714.541635,4568.707145,5730.312902,4277.422725,5428.765499,7924.360275,4302.308686,8352.403032,7942.675574,2589.984648,4941.817751,7590.096659,3582.989123,5839.97309,3246.020064,7552.178552,6658.739591,6279.395577,4657.133012,4369.999144,5654.822824,2692.188711,7755.419992,4749.278748,4306.67319,1769.026929,1973.44721,212.7620237,7424.937784,5070.2254,1659.128757,9971.596022,4790.844988,6682.943273,9403.033272,6313.657362,5095.127439,6073024.948
3,10631.63393,6189.150757,11414.13968,13556.19775,13105.03449,9020.420208,12576.78311,9683.915937,8819.489498,20239.82598,20443.96571,11119.841,9841.452969,10697.11867,20061.13296,10619.51133,26346.79304,10281.71318,22907.36922,6018.631088,13035.04162,11873.4711,11346.00193,8969.3995,8616.348074,18115.34504,21395.79682,10874.33163,10371.13812,7352.156993,19615.25998,16024.9724,14244.7287,17359.31519,8791.658771,9253.259157,28834.45326,9744.111571,17330.80668,3524.957993,9089.362656,14551.00833,15319.4813,22448.5884,19911.2001,9629.059028,17429.25518,15681.15839,14816.77428,11119.841,13604.84807,31475979.65
4,404.9491828,405.8092649,404.6180144,405.0245377,405.0941247,404.694666,404.0163516,405.0949312,404.5432514,404.5326125,405.5603553,404.3158664,405.0056559,404.1900485,405.1567392,405.2882138,405.1864554,404.6538067,404.5062531,405.0390351,404.64021,405.119724,404.3323939,404.5193393,404.7544415,404.6862344,403.9005341,403.4149592,403.9472103,404.8135582,404.9672206,405.3631879,405.8172143,404.8003779,405.8048871,404.9506163,405.1933621,404.7681821,405.1663798,404.8150589,403.7826367,405.6112989,404.0849136,404.7506928,404.9544893,404.6624894,404.7241943,404.4977615,403.6436307,404.3158664,404.7616486,0.301605906
5,520.4360259,520.4332713,520.4232046,520.4336902,520.4680867,520.4734485,520.483747,520.3812882,520.3846404,520.3841207,520.3570311,520.4379437,520.4429831,520.5370607,520.2684921,520.3747845,520.413071,520.4379581,520.5403219,520.3406853,520.3564448,520.4611653,520.376925,520.2939949,520.4388151,520.3362237,520.2773735,520.2236881,520.4258794,520.3769646,520.4281877,520.4391719,520.3033064,520.3859589,520.2923152,520.3838395,520.3489546,520.480287,520.3138047,520.4830371,520.4556456,520.3127422,520.3340851,520.5141746,520.397101,520.3000351,520.4090134,520.4969964,520.3866501,520.4379437,520.3984516,0.005209708
6,608.3831549,609.0146886,608.5741078,608.9240911,607.8157716,608.828274,609.0175473,608.390482,607.6888301,607.6759402,608.019842,608.374045,608.058313,608.9470751,608.4435324,608.1748241,608.7901445,610.0015756,609.2663131,609.2858822,607.9790135,608.5592336,609.2359479,603.8645695,608.843343,608.3051892,609.3253177,609.3757453,607.9731543,609.1767791,608.3377591,608.6232884,609.6790219,608.8400342,609.2175238,609.4065788,609.0991491,608.9797492,602.9622241,609.6308993,608.4234336,607.9249577,608.3976857,608.9983812,607.5260256,609.7699196,609.4835009,609.191528,608.9146133,608.374045,608.5218609,1.477429049
7,700.007396,700.017241,700.007396,700.0123161,700.007396,700,700,700,700,700.0245733,700.007396,700.007396,700.0393678,700.0147798,700.0098573,700,700,700.017241,700.017241,700,700.0196777,700.0393996,700.0098573,700.027037,700.0098573,700.0098647,700.0294811,700.0098647,700.0221857,700,700.0123161,700,700,700.0320134,700,700.01969,700.0123161,700.007396,700.007396,700.031957,700,700.0540691,700.012321,700.0147798,700.0098573,700.0245733,700.0098573,700.012321,700,700.007396,700.0127016,0.000149833
8,805.9697543,803.9798362,802.9848772,800.9949591,800.9949591,803.9798362,805.9697545,804.9747953,803.9798362,804.9747953,809.9495805,802.9848772,803.9798362,800.9949591,802.9848772,803.9798362,800.9949591,804.9747953,802.9848772,802.9848772,801.9899181,804.9747953,801.9899181,805.9697543,802.9848772,801.9899181,802.9848772,800.9949591,805.9697543,803.9798362,802.9851239,803.9798362,809.9495855,803.9798362,802.9848772,800.9949591,800.9949591,801.9899181,802.9848772,804.9747953,800,803.9798362,803.9798362,803.9798362,803.9798362,801.9899181,804.9747953,802.9848772,803.9798362,802.9848772,803.5619581,3.963400894
9,901.9899181,904.9747953,902.9848772,900.9949591,902.9848772,902.9848772,903.9798362,905.9697499,903.9798362,903.9798362,903.9798362,903.9798362,903.9798362,902.9848772,901.9899181,901.9899181,904.9747953,900,904.9747953,908.9546265,903.9798362,906.9647134,905.9697493,901.9899181,903.9798362,905.9697543,901.9899181,901.9899181,900.9949591,901.9899181,903.9798362,900.9949591,905.9697493,909.9495855,901.9899181,906.9647084,908.9546265,903.9798362,905.9697543,902.9848772,901.9899181,901.9899181,902.9848772,903.9798362,904.9747953,905.9697543,905.9697493,901.9899181,902.9848772,903.9798362,903.9400371,4.663234522
10,2442.690214,2057.040207,2137.931869,2369.650499,2499.570168,2407.938965,2032.226981,2226.588431,2172.46933,1939.713582,1212.056104,2381.982342,1227.447015,2294.540344,2413.693465,1214.189418,2396.384053,1797.620583,2130.491674,2419.755793,2254.094475,2209.957483,2321.398309,2261.357831,2123.85312,2325.205422,1715.021223,2344.384046,2363.773862,2125.883202,2221.841911,2351.188098,2237.867661,2102.959878,2296.291079,2183.086189,2147.502313,2365.571012,2281.67188,2243.98633,2028.835306,2367.693994,2215.185913,1819.975658,1989.07391,2369.747546,2513.887481,2052.794264,2222.859964,2381.982342,2164.258255,91941.50675
