CEC2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Mean,Variance,
1,372.7808596,327.8627529,237.1666064,100.0044692,144.0461918,203.2864829,778.4710507,381.2796112,184.7939843,121.6216016,1220.376945,213.3038315,918.5265523,106.211931,104.6344441,126.818783,103.730464,702.8253209,407.5991128,100.0121187,1705.281151,100.038614,149.632626,298.1026278,868.3498605,204.2996276,819.3775113,607.2242732,861.0925124,103.2213119,228.8305616,574.325995,226.0219666,199.590467,201.4439733,508.0896362,761.0249361,314.2135745,433.3340588,731.9289596,104.4580335,244.0551962,537.9318832,258.7883977,951.6243328,358.1391771,364.8178516,175.4097541,110.4224313,574.325995,408.6150082,116889.2894,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,300.021341,300.0022924,300.0000252,300.0008865,300.0027047,300.4498348,300.3299155,300.0019461,300.0015727,300.0002092,300.0125366,300.0042271,300.000014,300.0282726,300.0003776,300.0008565,300.2814184,300.1477603,300.0016841,300.0072369,300.0219525,300.0305849,300.0102955,300.0042004,300.0923318,300.0023149,300.0010511,300.0001762,300.0016096,300.0584021,300.0009155,300.0021123,300.0040047,301.255117,300.5930865,300.0007218,300.0000109,300.0000196,300.0160631,300.0006137,300.0089971,300.0000848,300.6246955,300.0004557,300.0011027,300.0001108,300.0001124,300.0000034,300.0327079,300.0021123,300.0812216,1765.213408,
4,404.7482514,404.5037027,404.8348605,404.6877279,404.869492,404.2996797,404.5085934,404.5514761,404.7897633,405.3913925,405.1607833,404.8062106,404.5395243,404.8229045,404.6866276,404.5677503,405.0549141,403.4711057,404.2117311,405.3659642,404.588864,405.3699643,404.9929704,405.2606404,404.6945306,404.6645989,405.5551903,404.506823,404.9312935,404.3400672,405.7964639,404.6620275,404.580418,404.7589101,403.7217456,405.8004993,404.1320742,404.1755968,405.3205117,405.2094487,404.6193593,404.5471395,404.7788102,405.4503349,403.9688526,404.0324639,403.4501481,404.616623,403.6392464,404.6620275,404.694002,3211.412108,
5,505.9697493,504.9747953,502.9848772,504.9747953,500.9949591,504.9747953,504.9747953,501.9899181,503.9798362,508.9546265,501.9899181,505.9697543,501.9899181,504.9747953,502.9848772,504.9747953,502.9848772,502.9848772,503.9798362,504.9747953,501.9899181,503.9798362,502.9848772,502.9848772,510.9445446,500.9949591,501.9899181,502.9848772,502.9848772,507.9596674,504.9747953,507.9596674,508.9546265,500.9949591,504.9747953,504.9747953,503.9798362,502.9848772,503.9798362,508.9546265,504.9747953,506.9647134,505.9697543,504.9747953,503.9798362,502.9848772,502.9848772,503.9798362,502.9848774,507.9596674,504.4574158,4992.571765,
6,600.2347041,600.2181916,600.1404249,600.3257933,600.2609021,600.182851,600.259976,600.7555537,600.2851578,600.2340234,600.2084722,600.3743148,600.0020175,600.0389176,600.1266608,601.4093674,600.1932144,600.2349093,600.0043372,600.3969575,600.3492154,600.0701838,600.0126809,600.0248914,600.5070472,600.1198937,600.0300064,600.1955395,600.098759,600.6895365,600.097824,600.109347,600.0711799,600.0014805,600.0631276,600.000028,600.2335089,600.1736151,600.4829783,600.0434054,600.0072594,600.284724,600.0935989,600.0194994,600.5311908,600.3749977,600.1261287,600.120306,600.0590138,600.109347,600.2197412,7062.055733,
7,714.5544675,713.9320147,712.8110247,712.9289123,715.113924,712.5180242,717.4343014,711.8853303,717.3356121,711.8697859,711.1398478,712.8582618,716.5663101,714.2982643,712.963911,712.1012188,711.7628018,713.741462,711.9283253,713.5011306,716.68252,711.959913,715.0770439,714.4041676,716.4058307,714.0386731,713.1061847,714.4951091,713.0298325,715.4963079,711.7041835,715.6540184,712.5635036,712.0810992,715.5444046,712.1217582,719.3111635,712.72976,716.3407564,715.6870252,714.4479982,717.3656814,716.0340645,714.3992799,714.4324988,715.3079727,712.4454458,714.7597547,715.0141366,715.6540184,714.1907807,10004.99405,
8,803.9798362,803.9798362,801.9899181,802.9848772,804.9747953,801.9899181,801.9899181,802.9848772,803.9798362,801.9899181,803.9798362,803.9798362,802.9848772,804.9747953,803.9798362,800.9949591,800.9949591,801.9899181,804.9747953,803.9798362,801.9899181,802.9848772,803.9798362,804.9747902,805.9697543,803.9798362,802.9848772,806.9647134,803.9798362,802.9848772,804.9747953,805.9697543,806.9647134,804.9747953,804.9747953,802.9848772,800.9949591,807.9596725,802.9848772,800,808.9546265,803.9798362,804.9747902,803.9798362,801.9899181,808.9546214,803.9798362,801.9899181,802.9848772,805.9697543,803.900239,12671.50174,
9,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900.0895283,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900.0017906,15877.68528,
10,2490.823037,1897.32282,2566.841747,2485.361994,2343.877321,2423.543247,2416.391802,2600.846846,2285.473149,2303.165244,2394.158913,2424.887438,1945.291744,2066.429436,2112.967592,2276.52149,2458.990157,1975.659751,2432.598161,2152.085178,2501.071137,2012.294734,2259.775824,1993.157465,2343.99488,2410.882612,2410.179247,1998.886975,1029.648238,2104.096426,2199.173048,2190.874211,2322.630631,2522.644501,2329.162988,2326.065998,2268.035576,1256.091861,2225.164901,2718.032278,2067.820347,2273.215526,2099.705182,2510.044192,2358.636405,2614.457598,2529.143071,2092.08683,2469.359799,2190.874211,2253.608875,191296.064,
